,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Class
1638,12.43,43.49,9.01,4.97,4.97,2.9,1.93,1.76,1.91,2.12,0
1639,4.28,6.12,4.9,1.47,2.14,1.29,0.31,0.12,0.63,0.31,0
1640,12,60,9,3,4.5,4.25,1.93,1.19,0.83,1.9,0
1641,4.29,25.73,6.43,0.86,3.43,2.14,0.68,0.21,1.82,1.07,0
1642,15.58,72.71,8.83,4.67,4.15,1.54,2.74,1.33,1.16,2.15,1
1643,15.06,62.32,8.31,4.15,4.36,3.26,3.05,2.42,1.36,2.01,1
1644,7.66,38.32,4.38,2.19,2.76,1.82,1.07,0.78,0.99,0.95,0
1646,1.41,17.16,4.44,0.84,1.45,1.41,0.4,0.29,1.2,0.47,0
1647,1.44,10.83,1.44,1.44,1.62,0.58,0.45,0.17,0.68,0.17,0
1648,5.36,30.02,6.29,2.14,3.43,2.07,0.87,0.83,1.5,1.29,0
1649,7.79,41.55,6.23,1.04,3.12,1.56,1.25,0.78,0.62,1.03,0
1651,10,40,6.95,3,5,3.34,1.89,1.5,1.23,3.08,1
1652,1.22,9.79,2.45,2.02,2.69,1.84,0.37,0.18,0.56,0.42,0
1654,15.58,83.1,9.87,4.67,3.64,3.18,2.41,2.19,1.05,1.8,1
1655,18.02,66.06,6.24,4.02,4.2,3.37,1.8,1.35,1.16,1.24,1
1657,4.93,32.84,5.2,3.28,2.74,3.1,1.75,1.57,0.86,1.31,0
1658,6.55,33.32,5.55,2.22,2.22,2.59,0.89,1.33,0.67,0.78,1
1659,2,26,5.97,1,2,2,0.81,0.73,1.05,1,0
1660,15.58,62.32,10.39,4.15,3.64,2.34,2.6,3.25,1.04,1.35,0
1661,9.83,24.56,3.6,1.64,2.29,1.64,0.95,0.32,1.13,0.57,0
1662,3.23,22.62,4.2,1.53,1.62,2.26,0.78,0.61,2.75,2.1,0
1663,3.22,14.75,3.22,1.82,2.07,1.27,0.53,0.16,0.71,0.41,1
1664,17.5,60,8,4.5,5,4.56,1.62,1.83,1.22,3.8,1
1666,14.54,41.55,9.35,4.15,4.36,3.47,2.94,2.62,0.92,1.34,0
1667,1.83,6.11,3.05,1.22,2.04,0.61,0.3,0.17,0.58,0.41,0
1668,4.9,18.36,3.43,1.84,3.67,2.13,0.45,0.2,0.72,0.53,1
1670,11.25,45,7.75,4.5,4.5,5,1.86,1.5,0.66,2.78,0
1672,8.19,36.03,5.73,2.46,1.97,1.31,0.82,0.49,1.26,0.68,0
1673,5.47,38.32,4.93,2.74,3.83,3.28,1.97,1.64,0.99,2.74,0
1674,1.81,7.96,5.51,1.59,2.45,1.15,0.24,0.13,0.62,0.35,0
1675,12.46,46.74,8.31,3.12,3.12,1.48,2.21,1.38,0.81,0.71,1
1676,3.02,18.56,4.89,2.33,2.33,1.7,0.51,0.29,0.66,0.73,0
1677,2.45,9.2,2.25,0.41,0.61,0.37,0.44,0.24,0.72,0.1,0
1678,5.63,38.35,5.11,1.02,1.53,1.34,0.9,0.86,0.75,0.75,1
1679,2.56,25.62,4.74,1.28,2.56,2.31,0.64,0.5,0.51,0.64,0
1680,6.11,29.99,4.78,2.22,2,2.22,1.11,1.04,0.57,0.89,0
1681,25,60,9,5,6,4.22,2.08,1.25,0.95,2.91,1
1682,12.46,64.4,9.87,6.75,6.49,4.41,2.74,1.95,1.05,2.37,1
1683,2.68,10.73,2.41,1.88,1.34,1.2,0.55,0.18,0.63,0.35,0
1684,12.5,65,9,5,7,4.83,2.73,2.17,1.59,4.41,0
1686,15,56,9,5,8,4.42,2.5,2.1,1,3.31,0
1687,6.4,25,6,1.79,2,1.3,1,0.81,0.77,1,0
1688,4.38,22.36,4.57,0.65,2.61,1.02,0.51,0.26,0.86,1.12,0
1689,18.02,84.08,7.21,6.01,4.8,3.24,1.96,1.36,1.41,1.48,1
1690,15.58,57.13,10.39,3.64,3.12,2.86,2.34,1.85,1.04,1.74,1
1691,2.45,9.2,2.25,0.41,0.61,0.37,0.44,0.24,0.72,0.1,0
1692,2.56,12.1,4.65,1.95,2.09,1.07,0.42,0.28,0.65,0.56,0
1694,15.58,51.93,7.27,3.12,3.64,1.53,1.63,0.99,1.03,1.04,0
1696,5.3,26.49,3.71,1.32,1.59,1.05,1.35,0.91,0.9,0.81,1
1698,17.48,72.83,16.02,7.72,6.12,3.75,2.68,2.04,1.73,1.68,0
1699,7.4,42.26,4.65,2.11,3.17,1.9,1.35,1.23,1.1,0.91,1
1700,17,60,9,4,5.5,2.5,2.35,1,1.09,3.3,0
1701,14.89,59.56,8.93,5.58,5.96,4.34,1.99,1.46,2.06,2.39,1
1702,1.86,17.21,2.79,2.33,1.4,0.93,0.33,0.23,0.6,0.74,0
1703,10.39,41.55,8.31,2.34,2.6,1.56,2.03,0.87,0.76,0.73,0
1707,14.54,62.32,9.35,5.19,5.19,1.7,3.05,1.09,1.25,3.05,1
1708,15.58,72.71,9.35,5.19,4.41,1.66,2.65,1.04,1.38,1.89,1
1709,10.39,36.35,6.8,2.6,2.6,1.35,2.39,1.04,0.83,0.83,0
1710,2.53,45.22,6.33,3.26,3.07,1.09,0.99,0.68,1.38,2.14,0
1711,13,70,8.5,6,6,4.75,2,1.67,0.85,3.15,0
1712,15.58,62.32,10.39,5.19,4.15,1.56,2.74,1.3,1.36,1.82,0
1714,7.78,18.16,6.49,1.69,3.89,2.08,0.67,0.26,1.04,1.61,0
1715,10.38,32.43,5.71,1.82,2.59,3.2,1.11,0.67,1.17,1.49,0
1716,12.01,60.06,6.01,4.8,5.56,3.98,2.05,1.47,1.2,1.06,1
1717,5.47,32.84,5.2,3.28,2.74,3.1,1.75,1.57,0.97,1.33,0
1718,3.56,68.97,2.9,1,0.5,1.98,0.91,0.47,1.07,0.65,0
1719,18,65,8,5,6,4.13,2.24,1.57,1.06,2.4,0
1720,16.38,57.32,10.64,2.46,2.46,3.11,1.6,0.58,1.68,1.08,0
1721,3.11,18.16,5.97,0.88,1.3,1.95,0.65,0.47,1.07,1.24,0
1722,2.17,9.39,1.81,1.44,2.17,0.52,0.39,0.18,0.89,0.16,0
1723,4.07,29.27,4.88,3.25,1.63,3.25,0.29,0.61,1.46,1.3,0
1724,15.64,63.28,10.42,5.21,8.56,3.29,1.95,2.07,1.88,2.33,1
1725,7.52,34.29,6.33,1.9,2.06,1.51,0.68,0.64,0.81,0.94,0
1726,6.66,31.1,5.55,1.5,2.33,2.33,1.14,1.63,0.57,0.81,0
1727,15,51,7,4.5,5.25,4.95,2.25,1.33,0.94,2.65,0
1729,3.33,22.2,2.11,1.78,2.22,2.66,0.4,0.22,1.65,0.79,0
1730,24.02,72.07,7.21,4.8,4.8,3.24,2.26,1.49,1.27,1.21,1
1731,5.59,22.36,6.52,1.86,2.9,1.51,0.95,0.67,0.95,1.24,0
1732,15.62,72.07,8.41,4.41,4.8,3.3,1.52,1.35,1.31,1.26,0
1733,1.27,7.31,3.05,4.77,5.4,0.87,0.6,0.25,1.18,1.03,0
1734,8.19,32.75,4.58,1.64,2.46,1.97,1.15,0.41,1.17,0.71,0
1735,2.82,13.41,2.79,1.61,2.15,1.4,0.59,0.18,0.6,0.36,1
1738,2.12,8.84,1.77,0.88,2.65,1.77,0.27,0.27,2.12,1.15,0
1739,1.11,6.68,2.9,2.23,1.34,0.89,0.18,0.12,0.36,0.39,0
1740,12.98,51.93,9.34,4.05,2.86,2.81,2.29,2.01,1,1.91,0
1741,3.73,20.5,4.19,1.86,1.68,0.93,0.75,0.56,0.83,1.12,0
1743,8.31,31.16,6.75,1.77,3.12,1.64,1.39,0.98,0.67,0.97,1
1744,2.38,9.5,1.58,0.79,1.11,0.79,0.63,0.36,1.9,0.32,0
1745,2.25,25.28,4.21,1.9,2.81,1.6,0.56,0.33,1.33,1.18,0
1746,7,40,6,1.3,2,2.2,0.72,0.47,1.61,1,0
1747,15.5,50,6.99,5,5.5,4.62,2,1.14,0.96,2.56,0
1748,28,82.5,8,7.5,8,4.44,2.58,1.42,0.97,2.89,0
1750,12.98,103.87,8.83,6.75,7.53,3.73,2.42,1.9,0.99,2.25,1
1752,3.62,40.27,7.48,2.08,3.31,1.56,0.68,0.63,1.02,2.14,0
1753,5.12,22.36,5.2,1.21,1.3,0.37,0.56,0.47,0.89,1.12,0
1755,17.5,45,9,4,5,4.5,1.67,1.38,0.66,1.38,0
1756,5.47,38.32,4.93,2.74,3.83,3.28,1.97,1.64,0.77,1.09,0
1757,3.98,14.69,3.67,2.45,3.06,1.84,0.38,0.24,0.69,0.46,0
1758,2.12,21.22,2.12,1.41,1.77,2.12,0.44,0.25,1.33,0.75,0
1759,13,60,9,4.5,5.5,4.72,2.47,1.71,1.03,2.96,0
1760,15.58,62.32,10.39,5.19,5.19,1.65,2.08,1.3,1.23,2.8,1
1761,5.59,22.36,5.59,1.3,2.8,2.42,1.09,0.84,0.9,1.6,0
1762,1.54,12.36,3.09,0.77,0.93,0.57,0.44,0.16,0.4,0.14,0
1763,20.51,62.32,8.83,5.19,4.67,3.34,3.12,2.04,1.04,2.02,1
1764,12.98,54.01,9.35,6.23,7.27,3.25,2.01,1.35,0.8,1.27,0
1765,3.98,11.05,4.97,1.19,1.49,1.2,0.41,0.28,0.72,0.41,0
1766,4.07,14.25,3.05,1.22,2.04,1.22,0.26,0.15,0.73,0.37,0
1767,26.42,126.81,16.91,8.19,6.34,5.45,4.54,4.28,1.74,3.33,1
1768,10.39,41.55,6.75,2.08,4.15,1.71,2.03,1.38,0.7,0.75,0
1769,15,47.5,7,4,5,4.35,2,1.39,1.1,3.47,0
1770,2.8,20.5,4.19,1.86,1.68,0.93,0.75,0.56,0.99,0.95,0
1771,14.3,70,8,5.29,5.5,3.88,1.71,2.02,0.75,1.76,0
1772,10.73,53.65,8.72,5.36,5.36,3.35,2.82,2.48,1.23,1.89,1
1774,6.66,31.1,5.55,2.67,2.44,2.08,1.16,0.79,0.69,0.84,1
1776,20.11,95.51,12.06,9.05,9.49,4.31,3.5,2.88,2.16,2.83,1
1778,16.38,28.66,7.78,1.47,1.64,1.97,1.15,0.55,1.11,1.14,0
1779,6.19,22.56,5.31,1.33,1.95,1.25,1.09,0.63,0.86,0.49,1
1780,3.26,18.63,6.06,1.68,2.24,1.4,0.98,0.42,0.84,1.68,0
1781,10.39,46.74,8.31,3.64,3.64,3.05,2.21,1.73,1,1.02,0
1782,11.5,35,7.5,4.33,5.5,3.69,1.69,1.39,0.88,3.86,0
1783,7.4,31.69,6.55,1.06,1.69,1.69,1.06,1.16,1.27,0.65,0
1785,16.75,67.01,8.27,5.21,5.96,3.29,1.77,1.44,2.09,2.28,1
1786,2.8,18.63,3.73,1.49,2.24,0.93,0.93,0.56,0.95,1.61,0
1787,1.77,13.26,1.77,1.06,1.94,1.77,0.35,0.35,1.5,1.15,0
1788,15.01,66.06,7.21,6.01,4.8,3.4,2.82,1.51,1.37,1.01,1
1790,3.73,80.24,7.08,1.86,1.3,2.37,0.93,0.37,1.49,1.12,0
1791,20,80,9,6.5,7,4.75,2.38,1.62,1.12,3.26,1
1792,7.27,31.16,6.23,2.08,2.86,1.19,1.43,1.04,0.71,1,0
1794,10.39,51.93,8.57,4.15,2.6,1.33,1.69,1.04,0.9,1.26,0
1795,0.75,3.75,9.36,2.81,4.68,1.15,0.19,0.14,0.56,0.33,0
1797,2.02,24.23,4.04,1.01,2.02,1.99,0.54,0.3,1.47,1.16,0
1798,1.68,15.03,3.01,2.7,1.5,2.21,0.37,0.21,1.28,1.08,0
1800,15.58,72.71,8.31,5.71,5.19,3.19,3.03,2.66,1.06,2.02,1
1801,10.91,70.63,9.87,3.64,3.9,3.43,2.54,2.16,1.04,1.87,1
1803,8.94,41.27,5.92,2.75,2.75,1.82,2.2,1.47,0.97,1.11,1
1804,1.41,15.37,3.84,1.67,2.05,1.67,0.77,0.38,0.77,0.77,0
1805,13.5,83.1,9.61,5.19,3.9,2.99,2.99,1.15,0.93,1.45,0
1806,4.57,25.22,5.97,2.59,2.59,2.08,1.05,0.7,1.22,1.98,0
1807,2.17,10.83,3.07,1.62,1.08,1.08,0.43,0.2,0.7,0.23,0
1808,10,40,7,4,4,3.88,1.79,1.2,0.57,2.31,0
1809,3.35,20.5,5.94,1.49,1.86,1.21,0.92,0.31,1.09,1.36,0
1811,3.51,28.1,3.22,1.17,1.46,1.61,0.66,0.47,1,0.96,0
1812,13.41,67.06,8.4,4.69,6.04,3.21,2.46,2.05,1.25,1.89,1
1813,5.55,31.1,7.22,2.22,1.78,2.5,1.18,1.41,0.62,0.97,1
1814,3.61,10.12,4.7,2.6,2.17,1.95,1.2,0.96,0.96,1.74,0
1815,2.75,10.18,3.26,1.02,2.85,0.92,0.2,0.12,0.72,0.31,0
1816,18,65,7.12,3.38,5,4.79,1.88,1.48,0.85,2.88,0
1818,18,57.5,9,3.5,4.5,4.82,2.41,1.67,1.01,3.24,0
1819,2.39,15.33,2.21,1.24,1.59,2.12,0.88,0.53,1.71,1.56,0
1820,7.27,31.16,6.73,2.08,1.56,1.2,1.06,0.86,0.65,1.19,0
1821,5.19,15.58,5.19,7.79,7.79,3.46,1.23,0.26,1.56,1.01,0
1822,16,75,8,7.5,8.5,5.33,2.5,2.38,0.92,2.74,0
1823,12.46,41.55,8.31,2.6,2.13,1.85,1.3,1.17,0.83,0.8,1
1824,1.44,18.05,2.89,1.44,1.05,0.39,0.41,0.17,0.68,0.14,0
1825,5.93,21.76,4.63,1.19,2.57,1.38,0.89,0.53,0.57,0.69,0
1827,6.14,29.96,5.05,2.89,4.33,3.01,0.94,0.79,1.44,1.8,0
1828,12,85,15,4.5,6.5,2.77,2.04,2.25,1.5,1.67,0
1829,4.54,12.97,7.26,2.08,4.15,2.26,0.93,0.67,1.16,2.18,0
1830,5.59,11.18,5.59,1.3,1.86,1.6,0.93,0.67,0.92,1.39,0
1831,8.31,25.97,5.3,1.87,2.6,1.69,1.23,1.4,0.53,1.52,0
1833,4.19,11.65,6.34,1.12,2.05,1.53,0.81,0.41,0.79,1.32,0
1834,18,70,9.75,7.5,7,5.28,2,1.7,0.94,3.48,0
1835,6.11,17.77,6.11,1.78,1.44,1.67,1.11,1.11,0.56,0.63,0
1836,5.55,33.32,5.55,1.56,1.33,1.89,0.89,1.26,0.66,0.77,1
1838,9.35,37.39,6.18,2.6,2.75,1.71,1.39,1.12,0.73,1.47,1
1840,2.79,9.3,4.65,2.79,3.63,1.26,0.52,0.28,0.63,0.54,0
1842,10.39,51.93,7.27,2.6,2.65,1.66,1.75,1.09,0.8,1.08,0
1844,11.43,51.93,7.17,3.32,3.12,3.15,2.12,1.77,0.7,3.12,0
1845,14.54,41.55,9.35,3.12,4.14,1.77,4.67,1.56,0.96,1.35,0
1846,2.68,13.41,3.08,1.77,2.15,1.35,0.6,0.26,0.77,0.4,1
1847,4.79,25,4.3,1.75,3.08,1.43,1.1,0.47,0.95,1.25,0
1848,10.39,31.16,7.79,2.08,2.6,1.53,1.56,1.3,0.81,0.95,0
1849,1.22,18.33,3.77,1.77,1.32,1.59,0.22,0.11,0.81,0.41,0
1850,1.34,9.12,2.95,1.42,2.09,1.02,0.45,0.13,0.78,0.4,0
1851,6.23,22.05,5.71,1.56,2.59,2.08,1.04,0.52,1.3,1.56,0
1852,24,100,7.5,5.75,6,4.5,1.79,1.52,1.36,4.04,0
1853,5.55,33.32,4.78,1.78,2.67,2,0.89,1.04,0.7,1,0
1854,11.95,31.16,8.57,1.82,2.6,1.73,1.77,1.17,0.79,1.25,0
1855,16,80,9,5,7,3.88,2.38,1.64,0.92,3.26,0
1856,1.81,14.44,1.99,1.44,2.17,0.74,0.53,0.21,0.41,0.22,0
1857,20.77,51.93,8.31,7.79,5.19,2.6,2.25,2.77,0.91,1.87,0
1858,5.55,33.32,5.78,2.44,2.67,2.39,0.89,1.04,0.62,0.97,0
1859,14.89,59.56,9.68,4.84,5.4,3.34,1.96,1.7,1.96,2.23,1
1860,10.39,46.74,7.79,4.1,3.64,2.6,1.56,2.34,1.04,1.66,0
1861,24.56,81.88,4.91,2.46,5.73,3.28,2.13,1.64,1.34,1.92,0
1862,15.58,62.32,8.31,5.19,4.93,1.56,2.6,0.96,1.05,1.52,1
1863,3,24,5,1.5,2,1.7,0.72,0.46,0.99,1.43,0
1864,12.5,52.5,9.75,6,6,5,2.2,1.5,1.06,2.7,0
1865,5.59,27.95,6.52,0.93,4.66,1.3,0.75,0.37,0.83,1.12,0
1866,15,50,8,6,7,3.83,3.25,1.5,1.67,3.32,0
1867,0.68,6.76,3.38,0.68,1.01,0.79,0.34,0.22,1.24,0.84,0
1868,2.21,8.84,3.09,0.71,2.65,1.06,0.38,0.27,2.48,1.15,0
1869,20,35,8,5,4,4.25,2.2,1.29,1.01,3.45,0
1870,3.89,45.39,4.54,1.95,2.27,3.3,0.96,0.68,2.36,2.25,0
1873,3.88,28.5,5.66,0.95,1,3.72,1.03,0.51,0.5,0.3,0
1874,15.39,53.22,6.39,1.97,2.78,2.33,1.12,0.61,0.98,0.49,0
1875,15,55,7.5,5.5,5,3.86,1.83,1.7,1.01,3.78,0
1876,2.89,23.64,2.64,4.77,5.55,1.98,0.66,0.27,1.76,0.58,0
1877,8.31,46.74,8.31,3.64,3.12,3.29,2.73,2.94,0.97,1.82,0
1878,17,45,8,5,5.5,4.33,2.24,1.52,1.09,3.3,0
1879,11.43,76.21,8.1,6.67,8.34,3.44,1.93,1.83,1.14,2.54,1
1881,15,80,8,8,9,5,2.75,1.94,0.99,3.31,0
1882,14.41,60.06,7.21,5.41,4.35,3.02,2.24,1.72,1.03,1.11,1
1883,30,105,8,6,7,4.38,2,1.57,1.26,4.3,0
1886,18.18,72.71,8.83,5.45,4.67,3.6,3.19,2.83,1.07,2.08,1
1887,2.5,33.5,4.5,2.5,2,2.34,0.7,0.7,0.99,2.05,0
1888,7.45,18.63,4.66,1.86,3.73,1.43,1.3,0.99,1.06,1.4,0
1889,2.7,19.14,2.3,1.05,1.12,2.2,1.1,0.85,1.14,1.44,0
1890,10.54,30.74,3.37,1.76,2.22,1.72,1.05,0.82,0.87,0.91,0
1892,10.39,36.35,6.23,3.12,4.67,3.46,1.8,0.52,1.26,1,1
1895,5.59,23.29,5.43,1.96,3.54,1.14,1.06,0.56,0.65,1.23,0
1897,1.08,6.78,4.34,1.11,1.11,0.99,0.36,0.21,1.09,0.41,0
1899,2.45,9.79,2.63,1.84,2.82,1.53,0.28,0.17,0.72,0.41,0
1900,13.5,51.93,8.31,4.93,3.12,1.44,1.7,0.84,0.83,1.39,1
1901,13.5,51.93,9.35,5.19,5.19,2.79,2.65,1.62,1.13,1.95,1
1902,4.98,32.2,3.66,1.14,1.29,1.71,1.04,0.66,1.11,0.93,0
1903,7.27,31.16,5.19,4.15,3.12,2.63,1.87,1.49,1.15,1.24,1
1904,16.75,63.95,8.93,3.72,4.84,3.16,1.38,1.18,3.14,2.03,1
1905,2.68,10.34,3.03,1.42,2.09,1.26,0.6,0.17,0.8,0.44,0
1906,1.44,8.49,3.61,1.44,0.87,0.36,0.45,0.17,0.68,0.17,0
1907,1.4,12.1,4.65,2.33,1.86,1.15,0.41,0.26,0.66,0.14,0
1908,11.43,46.74,8.31,4.05,3.9,2.99,3.06,2.51,0.98,2.16,1
1911,10.39,51.93,8.2,3.64,3.12,2.39,1.95,1.43,0.88,1.38,0
1912,20.25,111.74,11.8,6.84,6.98,5.5,3.65,3.21,1.62,3.44,1
1913,7,24.6,7,1.55,1.43,1.91,2.28,0.97,3.52,1.18,0
1914,20.39,87.39,17.04,7.57,8.3,4.37,2.83,2.25,1.85,3.04,1
1915,4.38,32.84,8.48,2.08,3.28,2.7,0.93,0.8,0.86,1.4,0
1916,5.59,23.29,5.43,1.68,3.54,1.14,1.06,0.56,0.81,1.3,0
1917,12.01,66.06,6.01,3.84,4.8,2.99,1.34,0.76,1.1,0.89,1
1918,5.03,27.15,4.77,1.59,1.59,1.46,1.41,1.02,0.85,0.77,1
1919,4.66,14.91,5.02,1.66,1.96,1.39,0.9,0.43,1.15,0.88,0
1920,18.44,60.36,8.38,8.05,8.05,2.91,2.35,1.68,0.87,1.01,0
1921,6.03,26.39,4.15,2.45,4.15,3.02,1.24,0.75,1.56,2.74,0
1922,2.75,6.12,1.84,0.98,3.67,1.22,0.37,0.14,0.74,0.46,0
1924,24.02,72.07,6.91,4.8,4.8,3.6,1.87,1.27,1.18,1.42,1
1925,10.83,40.99,4.68,1.17,1.46,2.05,0.96,0.72,0.89,0.74,0
1927,3.06,18.36,4.28,2.11,3.67,2.01,0.46,0.18,0.58,0.57,0
1928,11.18,55.84,8.19,4.47,5.36,2.68,1.86,1.5,1.82,2.17,0
1929,18.7,72.71,8.31,5.19,4.15,3.03,2.41,2.21,1.04,1.97,0
1931,1.84,7.35,5.51,1.59,2.45,1.15,0.26,0.13,0.62,0.35,0
1932,15.58,62.32,9.35,6.23,3.9,3.09,2.34,2.29,1.1,1.93,1
1933,15,65,7.5,5,4,5,1.17,1.17,2.71,3.15,0
1934,10.39,57.13,9.35,4,4.15,2.94,2.8,2.52,1.09,2.29,0
1935,15.58,46.74,10.39,5.19,5.97,2.92,2.73,1.51,0.95,1.14,0
1936,3.22,16.09,4.02,1.5,1.88,1.62,0.66,0.2,0.75,0.32,1
1937,5.39,25.35,4.75,1.69,2.01,1.66,1.23,1.18,1.37,1,1
1938,5.12,18.63,4.66,1.21,1.96,1.43,0.56,0.47,0.89,1.58,0
1939,20.25,51.93,8.31,4.15,4.15,3.4,2.94,2.51,1.41,3.67,1
1940,15.58,59.73,10.39,4.15,3.43,3.15,2.54,2.18,1.1,2.22,1
1941,12.46,62.32,10.39,5.97,4.67,3.64,3.98,2.6,0.93,1.18,0
1942,15.58,51.93,8.52,5.19,4.15,1.28,2.29,0.92,1.18,1.64,0
1943,5.37,31.96,5.04,1.02,1.53,1.4,0.96,0.77,0.81,1.13,1
1944,18,47.5,7,5,6,3.92,1.72,1.31,0.85,2.9,0
1945,8.78,30.74,4.98,2.05,2.63,1.65,0.95,0.78,1.04,0.94,0
1946,3.25,9.98,3.25,0.95,0.68,0.57,0.34,0.51,0.62,0.42,0
1947,6.32,25.26,4.21,1.05,1.79,1.69,0.54,0.37,0.84,0.36,0
1948,7.27,25.97,7.69,2.08,2.08,1.35,1.27,1.04,0.62,0.92,0
1949,2.25,9.83,4.64,1.69,5.2,1.97,0.58,0.35,1.4,1.4,0
1950,15.58,57.13,8.57,5.19,4.67,1.66,3.38,1.08,1.45,2.99,0
1952,3.06,6.73,6.12,2.75,4.28,1.93,0.6,0.12,0.7,0.5,0
1953,11.91,39.7,12.44,7,7,3,1.5,1.31,0.95,1.64,0
1954,3.62,40.27,7.48,2.08,3.31,1.56,0.68,0.88,1.02,2.14,0
1955,2.41,13.41,3.35,1.61,1.94,1.48,0.5,0.22,0.63,0.37,1
1956,8.31,31.16,6.23,1.82,2.67,1.28,1.11,0.85,0.67,0.93,0
1957,16.62,67.52,10.39,5.19,4.41,3.05,2.73,2.03,1.06,1.96,1
1958,13.5,46.74,8.57,6.23,5.19,3.05,2.73,1.45,0.93,1.17,0
1959,7.33,35.1,6.95,1.26,1.57,2.04,0.96,0.7,0.65,1.27,0
1960,1.56,17.82,3.56,3.01,4.01,1.79,0.22,0.17,0.36,0.66,0
1961,15.06,62.32,9.35,4.57,4.15,3.75,3.53,2.89,1.37,2.06,1
1962,12,40,10.5,5.4,5.36,4.88,1.12,1.17,1.03,1.31,0
1963,7.38,25.83,6.64,1.11,1.85,2.12,0.68,0.32,1.66,0.79,1
1964,20,80,8,6,5.5,4.88,2,1.75,0.66,2.76,0
1965,8.45,26.41,5.92,1.37,2.54,1.76,1.55,1.2,1.26,0.95,1
1967,16,42,9,3,5,3.04,1.96,1.39,1.06,2.63,0
1968,15.58,62.32,8.31,4.15,4.15,1.55,2.3,0.96,1.14,2.23,1
1969,2.02,20.03,5.21,0.81,1.62,1.89,0.43,0.27,1.34,0.91,0
1970,3.5,20,7,1.25,2.5,2.5,0.78,0.5,0.95,1.69,0
1971,15,65,8.25,4,5.5,4.4,2.06,1.45,0.88,2.67,0
1972,14.75,80,9,6.5,4.5,2.78,1.82,1.67,1.45,3.71,0
1973,15.01,60.06,7.51,6.01,6.01,3.44,1.89,1.73,1.28,1.07,1
1974,1.61,9.39,2.95,1.48,1.48,1.31,0.51,0.13,0.68,0.27,0
1975,32.5,80,8,7.25,6,4.4,4,1.58,1.19,2.76,0
1977,10.39,36.35,7.79,4,3.64,2.67,2.6,2.34,1.04,1.11,0
